0022,0.9609,-3.6260,-0.9313,-1.5115
0.1204,0.0017,0.9485,-3.7252,-1.2977,-1.7328
0.1172,0.0054,0.9495,-3.7099,-1.3053,-1.5267
0.1191,0.0059,0.9575,-3.6489,-1.3893,-1.5115
0.1194,0.0015,0.9568,-3.7023,-1.1527,-1.4885
0.1101,0.0027,0.9663,-3.3511,-1.4733,-1.6718
0.1223,0.0051,0.9468,-3.7252,-0.9160,-1.4275
0.1194,0.0046,0.9534,-3.7557,-1.1069,-1.5573
0.1199,0.0027,0.9709,-3.9160,-1.4122,-1.5115
0.1111,0.0032,0.9590,-3.8550,-1.2137,-1.5954
0.1169,0.0044,0.9531,-3.7023,-1.1756,-1.7023
0.1216,0.0039,0.9446,-3.8015,-1.0611,-1.6489
0.1133,-0.0015,0.9561,-3.9389,-1.1908,-1.6641
0.1189,0.0068,0.9622,-3.6412,-1.0458,-1.7481
0.1311,-0.0027,0.9622,-3.7863,-1.2443,-1.4351
0.1179,-0.0010,0.9539,-3.7863,-1.1756,-1.5038
0.1147,-0.0005,0.9595,-3.9008,-1.2519,-1.6641
0.1201,0.0005,0.9500,-3.7023,-1.1221,-1.6107
0.1133,0.0012,0.9612,-3.7863,-1.0840,-1.5878
0.1201,0.0051,0.9622,-3.8702,-1.2824,-1.4809
0.1228,-0.0017,0.9517,-3.7863,-1.4885,-1.6031
0.1189,0.0039,0.9502,-3.7863,-0.9084,-1.4656
0.1208,0.0039,0.9460,-3.6870,-1.1374,-1.6794
0.1133,-0.0010,0.9463,-3.7786,-1.3969,-1.6336
0.1177,0.0066,0.9634,-3.8015,-0.8473,-1.4733
0.1169,0.0083,0.9707,-3.9008,-1.3588,-1.5954
0.1218,0.0120,0.9614,-3.7481,-1.1908,-1.6489
0.1213,0.0115,0.9575,-3.6641,-0.9084,-1.6794
0.1228,0.0042,0.9543,-3.8779,-1.2366,-1.6565
0.1150,0.0032,0.9509,-3.7099,-1.1603,-1.6336
0.1177,0.0024,0.9629,-3.7252,-0.9466,-1.4733
0.1223,0.0054,0.9583,-3.7939,-1.0992,-1.6336
0.1147,0.0024,0.9666,-3.7023,-0.8473,-1.5725
0.1174,0.0083,0.9570,-3.8626,-1.0992,-1.5802
0.1169,0.0093,0.9521,-3.8244,-1.0458,-1.4504
0.1177,0.0015,0.9670,-3.8244,-1.2214,-1.5115
